age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
32,0,15823,2700,12,0,3,0,0,0
30,0,1798,2223,2,0,0,0,1,0
31,0,271,5750,5,0,0,0,0,0
22,0,0,1500,1,0,0,0,0,0
42,0,3525,5400,12,0,1,0,0,0
73,0,1832,21300,11,0,2,0,0,0
30,0,493,1700,1,0,0,0,0,0
31,0,1125,4167,12,0,0,0,0,0
34,0,4437,6600,9,0,1,0,0,0
50,0,547,10000,4,0,0,0,3,0
49,1,7780,3536,8,0,1,1,1,1
31,0,3768,2939,9,0,0,0,3,0
56,0,2125,20500,6,0,1,0,1,0
67,0,6850000,5400,9,0,1,0,0,0
45,1,5547,7503,17,0,4,0,0,0
54,0,13500000,5400,9,0,2,0,1,0
70,0,844,4000,6,0,0,0,0,0
47,0,2812,5809,5,0,1,0,0,0
46,0,3613,7916,10,0,2,0,0,0
45,0,9,7500,4,0,0,0,0,0
35,1,4998,7087,7,0,2,0,1,0
68,0,19110000,5400,5,0,1,0,0,0
62,0,1081,6000,5,0,1,0,0,0
37,0,7088,3300,4,0,1,0,2,1
60,1,3082,5235,9,0,1,0,0,0
44,2,3631,11458,12,1,1,0,3,1
47,0,80600000,5400,13,0,2,0,0,0
32,1,6814,3942,10,0,2,0,0,0
51,0,2805,9200,6,0,1,0,3,0
49,0,5498,6919,12,0,2,0,2,0
51,4,5816,3766,9,0,2,0,2,1
55,0,3523,2400,4,0,0,0,1,0
84,0,1091,7304,7,0,1,0,1,0
72,0,14529,4200,11,0,4,0,0,0
56,1,10980000,5400,3,1,1,0,0,1
22,0,2125,1500,4,0,0,0,0,1
33,0,1415,3933,8,0,0,0,0,0
59,0,1491,18883,9,0,1,0,1,0
60,0,6261,1692,7,0,1,0,0,0
50,0,15671,3333,20,0,2,0,2,0
65,0,8690000,5400,3,0,0,0,0,0
78,0,3551,5000,7,0,1,0,0,0
44,0,25350000,5400,6,1,1,0,0,0
31,0,2580000,5400,2,0,0,0,0,0
63,0,95,8092,6,0,1,0,0,0
26,0,5370000,5400,1,0,0,0,0,0
55,0,5344,11000,18,0,2,0,0,0
58,1,2483,10700,19,0,1,0,1,0
25,0,4280000,5400,2,0,0,0,2,0
42,0,4791,12166,9,0,1,0,1,0
72,0,241,7821,6,0,0,0,0,0
55,0,4285,4666,7,0,1,0,0,0
51,3,6181,3414,9,1,2,2,0,1
60,0,1029,6957,4,0,0,0,0,0
62,0,3852,12083,12,0,2,1,2,0
58,1,527,4583,4,0,0,1,0,0
77,0,3598,2900,2,0,1,0,1,0
57,0,9062,6483,13,0,1,0,3,0
25,0,339,3000,0,4,0,0,0,0
61,0,5004,5516,8,0,2,0,0,0
38,0,7530000,0,4,0,0,0,4,0
51,0,11559,2000,10,0,2,0,0,0
42,0,8840000,5400,8,0,1,0,0,0
48,2,3099,3200,7,0,0,0,0,0
78,0,2227,6504,5,0,1,0,1,0
36,0,4931,3600,5,0,2,0,0,1
50,0,3558,3950,5,2,1,0,0,0
53,0,42260000,5400,11,0,4,0,0,0
35,0,9905,3500,8,0,2,0,1,1
39,0,2881,12500,7,0,2,0,0,1
85,0,1568,3117,6,0,1,0,0,0
24,0,3720,1300,7,0,0,0,0,0
39,0,19,3500,4,0,0,1,1,0
36,0,3643,17000,7,0,2,0,2,0
56,0,1403,5833,8,0,1,0,0,0
26,1,1406,3333,8,0,0,0,0,0
48,0,2734,16501,9,0,1,0,0,0
43,1,14090000,0,10,0,2,0,2,0
66,0,6301,2400,13,0,1,0,0,0
26,0,884,2000,5,0,0,0,0,0
62,0,480,11858,9,0,1,0,0,0
38,0,1958,1500,1,1,0,0,0,0
49,0,78080000,5400,8,0,2,0,0,0
92,0,1100000,5400,8,0,0,0,0,0
28,1,286,3000,5,0,0,0,4,0
62,0,3681,4206,7,0,2,0,0,0
56,0,270000,5400,5,0,0,0,0,0
71,0,121,5000,7,0,0,0,0,0
73,0,67,2667,3,0,0,0,0,0
62,0,3477,7726,9,0,2,0,0,0
55,0,25560000,5400,4,0,2,0,2,0
67,0,4890000,5400,6,0,0,0,0,0
28,0,5400000,5400,1,5,0,1,0,0
61,0,1312,8900,12,0,1,0,0,0
63,0,1593,8833,7,0,1,0,0,0
49,1,3650000,5400,2,0,0,0,0,0
39,0,4103,4388,19,0,0,0,1,0
72,0,2361,4818,9,0,1,0,0,0
34,0,7444,6041,8,0,2,0,2,0
59,0,0,1109,1,0,0,0,0,0
52,1,4112,7800,7,0,2,0,0,0
53,0,1250000,5400,4,0,0,0,0,0
33,0,16400000,5400,12,0,1,0,0,0
28,0,512,1500,2,0,0,0,0,0
37,1,5140,2555,13,0,1,0,0,0
43,1,4141,5000,13,0,2,0,3,0
45,1,2945,7959,5,0,1,0,0,0
39,0,9321,2963,14,0,1,0,0,1
35,0,23120000,5400,5,0,1,0,0,0
30,0,2992,17500,11,0,2,0,2,0
41,0,5033,6650,7,0,2,0,3,0
63,0,37020000,5400,12,0,2,0,0,0
53,0,1831,8299,6,0,1,0,1,0
70,0,0,2500,1,0,0,0,0,0
63,0,543,6599,4,0,0,0,0,0
41,0,13780000,5400,7,0,1,0,0,0
40,0,30100000,5400,6,0,2,0,0,0
62,0,166,9166,6,0,0,0,0,0
60,0,11980000,5400,10,0,1,0,0,0
36,0,314,6160,0,1,0,0,0,1
56,0,14880000,5400,13,0,0,0,2,0
51,2,7835,3750,9,0,1,0,0,0
44,0,5458,2879,8,0,2,0,1,0
36,0,6319,7125,8,0,1,0,0,0
38,0,2696,10000,9,0,2,0,0,0
45,0,1090,23333,8,0,1,0,3,0
44,2,6402,10000,12,4,2,0,3,1
68,0,12761,1100,7,0,1,0,0,0
27,0,796,4507,4,0,0,0,0,0
39,0,4530000,5400,19,0,0,0,0,0
69,0,533,5269,7,0,1,0,0,0
50,1,11493,1900,7,0,1,0,1,0
46,0,4325,9100,6,0,2,0,2,1
36,0,37920000,5400,14,0,2,0,5,1
45,0,3255,3000,9,0,1,0,0,1
51,0,11570000,5400,1,0,1,0,0,0
29,0,1026,18836,4,0,1,0,2,0
39,0,801,7000,4,0,0,0,5,0
38,0,3369,4166,14,0,1,0,0,0
28,0,259,3389,5,0,0,0,0,0
41,0,6807,7832,19,0,2,0,3,0
46,0,2820,4260,8,0,1,0,0,0
91,0,3798,2000,6,0,0,0,0,0
39,0,34520000,5400,9,1,1,1,0,0
40,0,1638,2800,11,1,0,0,0,0
65,0,1228,3500,14,0,0,0,0,0
39,0,6947,7000,8,0,1,0,0,0
66,1,6413,6724,22,2,1,0,1,0
49,4,9746,4699,18,0,1,0,2,0
31,0,0,2200,2,0,0,0,0,0
63,0,3267,18708,30,0,3,0,1,0
54,0,22470000,5400,10,0,1,0,0,0
78,0,3706,2551,4,0,1,0,0,0
60,0,0,4500,0,0,0,0,1,0
27,0,1430,3600,3,0,0,0,0,0
52,0,3526,4040,4,0,1,0,0,0
59,0,3241,7900,13,0,2,0,1,0
69,0,4481,4600,9,0,2,0,0,0
61,0,19250000,5400,4,0,1,0,0,0
37,1,10830,2420,11,0,1,1,2,0
51,2,5337,8333,12,0,3,0,3,1
56,0,2662,10500,8,0,2,0,3,0
51,0,3853,5000,9,0,1,0,0,0
55,0,3798,2050,9,0,1,0,0,0
80,0,4341,4334,11,0,2,0,1,0
54,0,1678,9000,4,0,1,0,1,0
43,0,4752,3900,8,0,1,0,2,0
51,0,5178,5782,7,1,1,0,0,1
58,0,15077,2916,20,0,1,0,1,0
50,4,2500,4250,6,0,1,0,0,0
30,0,1297,3074,4,0,0,0,0,0
48,0,2084,10575,17,0,1,0,2,0
55,0,3,40000,4,0,0,0,0,0
33,0,19456,2264,5,0,2,0,0,0
42,0,3536,7300,8,0,1,0,4,0
56,1,8312,5100,16,0,1,0,1,1
58,0,4521,4650,7,0,1,0,0,0
55,0,2072,7583,22,0,2,0,0,0
93,0,53,3333,4,0,0,0,0,0
57,0,26710000,5400,10,0,1,0,1,0
31,0,9920000,5400,11,0,1,0,0,0
62,0,3023,41666,13,0,3,0,0,0
61,0,44590000,5400,17,0,3,0,0,0
46,0,2439,9100,5,0,1,0,0,0
47,0,4079,6000,7,1,1,0,1,0
86,0,26,25000,10,0,0,0,0,0
26,0,5160,5485,8,0,2,0,3,0
62,0,13935,3333,13,0,3,0,0,0
48,0,2443,7600,14,0,1,0,1,0
43,0,41390000,0,5,0,1,0,3,0
67,0,5573,4000,5,0,1,0,0,0
34,0,8463,3833,13,0,1,0,1,0
46,0,981,8230,7,0,0,0,5,0
61,0,6415,3500,11,1,1,0,0,1
69,0,2107,8100,11,0,1,0,0,0
39,2,3487,8000,8,0,1,0,0,0
64,0,2782,9700,11,0,2,0,0,0
46,0,3519,9000,8,0,1,0,1,0
72,0,6031,3000,13,0,1,1,0,1
71,0,4157,2700,9,0,0,0,0,0
45,0,2792,4625,12,0,1,0,1,0
27,1,11319,1787,11,0,0,0,0,0
49,0,7725,4000,10,0,2,0,2,0
43,1,727,3958,1,1,0,1,0,0
40,1,2435,15000,9,0,1,0,5,0
54,0,364,1700,14,0,0,0,0,0
38,0,4648,4000,6,0,1,0,2,0
50,0,19380000,5400,8,0,1,0,0,0
44,0,1538,3666,6,0,0,0,0,0
67,0,1170,3640,7,0,0,0,2,0
34,0,1081,7200,12,0,0,0,0,0
60,0,0,5400,2,0,0,0,0,0
37,1,6999,3425,6,0,1,0,0,0
57,0,0,5400,0,0,0,0,0,1
49,0,7726,2000,14,0,2,0,0,0
35,0,2084,11666,4,0,1,0,0,0
34,0,2562,15000,12,0,3,0,1,0
32,0,42550000,5400,12,0,2,0,0,0
37,0,2961,16000,7,0,2,0,2,0
36,0,799,9800,16,1,0,0,0,0
50,0,10400,8183,8,0,2,0,2,0
45,0,71400000,5400,8,0,1,0,2,0
52,0,3204,3400,5,0,0,0,1,1
43,0,5766,5765,9,0,1,1,0,0
47,0,5290,6416,8,0,2,0,2,0
37,1,6054,6500,8,0,1,0,1,0
35,0,3836,3640,3,0,1,0,0,0
47,0,998,9658,8,0,1,0,0,0
38,5,5450,4806,11,0,2,0,0,1
57,0,168,3500,4,0,0,1,0,0
50,0,10440000,5400,12,0,1,0,1,0
77,0,567,7500,6,0,0,0,1,0
47,0,722,18738,6,0,0,0,0,0
77,1,452,2186,4,0,0,0,0,0
52,3,2848,4833,8,0,0,1,2,0
48,1,1984,35600,22,0,2,2,2,0
49,0,2594,10866,11,0,2,0,2,0
30,0,1361,4400,9,0,0,0,0,0
47,2,1358,6000,6,1,1,3,1,1
49,1,3544,10283,8,0,1,0,0,1
63,0,360000,5400,2,0,0,0,0,0
52,4,5818,5573,7,1,1,0,3,0
34,0,2730,4536,6,0,0,0,1,1
71,0,15910000,5400,6,0,1,0,0,0
65,5,4365,17050,17,1,2,1,1,1
44,0,1210,8333,5,0,0,0,3,0
34,0,4081,3000,8,0,1,0,0,0
73,0,3867,4550,18,0,0,0,0,0
53,0,10797,4000,10,0,2,0,2,1
44,0,2079,16000,6,0,1,0,2,0
46,0,37190000,5400,14,0,2,0,0,0
49,0,3233,2758,15,0,1,0,0,0
70,0,3802,2400,14,0,1,0,0,0
49,0,2348,9832,14,0,1,0,2,0
29,0,1425,6500,4,0,0,0,0,0
35,0,240000,5400,3,0,0,0,0,0
70,0,2824,9000,12,0,1,0,1,0
69,0,2050,4496,4,0,0,0,1,0
54,0,3823,1576,3,0,0,0,1,0
75,0,140000,5400,3,0,0,0,0,0
43,1,4321,3000,11,0,0,0,0,0
82,0,0,5400,2,0,0,0,0,0
33,0,7690000,5400,4,0,0,0,0,0
67,1,23920000,5400,4,0,1,0,0,0
47,0,7681,9600,13,0,3,0,3,0
37,0,0,4151,0,0,0,0,2,1
51,0,40840000,5400,11,0,1,0,0,0
37,1,134,2000,2,0,0,0,0,0
72,0,1295,5115,7,0,2,0,1,0
73,0,290000,5400,14,0,0,0,0,0
33,0,23,2950,4,0,0,0,0,0
68,0,2181,5100,15,0,1,0,0,0
50,0,4736,1916,1,0,1,0,0,0
72,0,5347,3750,20,0,1,0,0,0
30,0,1150000,5400,2,0,0,0,0,0
56,0,1796,12640,9,0,1,0,0,0
54,0,4837,7000,7,0,2,0,2,0
88,0,2192,4583,12,0,0,0,0,0
50,0,22510000,5400,7,0,1,0,0,0
71,0,544,4500,8,0,0,0,1,0
32,0,3298,3200,7,0,0,0,0,0
56,0,7638,4666,20,0,2,0,0,0
57,1,24150000,5400,6,0,1,1,0,1
51,0,7647,1750,7,0,2,0,3,0
44,0,3724,4400,8,0,1,0,0,0
75,0,2744,5760,4,0,1,0,0,0
55,0,1475,12500,15,0,1,0,1,0
50,0,2342,6666,5,0,1,0,2,0
57,0,2410,7200,9,0,1,0,2,0
47,2,34300000,5400,10,0,2,0,0,0
89,0,220000,5400,2,0,0,0,0,0
50,4,13460,4400,26,1,3,2,0,1
40,2,1673,13500,13,0,0,1,0,0
83,2,2886,4308,13,0,0,0,0,0
37,0,6690,4725,9,0,2,0,0,0
62,0,3318,5983,10,0,2,0,1,0
60,0,21690000,5400,7,0,1,0,0,0
61,0,79,4000,7,0,0,0,0,0
44,0,866,4050,5,0,0,0,1,0
54,1,2376,4291,9,0,0,0,1,0
40,1,1894,4333,3,0,0,0,2,0
59,0,157,4000,5,0,0,0,0,0
50,1,5502,11582,18,0,5,0,1,0
54,0,2017,50000,10,0,2,0,4,0
38,0,4123,11230,7,0,3,0,1,0
66,0,9314,6666,23,0,1,0,0,0
50,0,5340000,5400,2,0,0,0,0,0
37,0,759,6597,6,0,0,0,0,0
43,0,2566,12500,9,0,2,0,0,0
26,0,5268,800,11,0,0,0,0,0
42,0,12350,3334,14,0,2,0,2,0
74,0,56,77170,11,0,0,0,1,0
63,0,13097,1300,9,0,1,0,0,0
26,0,69,2000,1,0,0,0,0,0
49,1,31730000,5400,17,0,2,0,1,0
24,0,10000,5400,1,0,0,0,0,0
35,0,3749,6000,13,0,1,0,0,0
54,0,2420,10433,6,0,1,0,0,0
63,0,53,3175,3,0,0,0,0,0
30,0,417,6250,3,0,1,0,0,0
25,0,6471,3700,6,0,1,0,0,0
42,0,2865,3534,5,0,0,0,2,0
60,0,8956,3803,14,0,1,0,0,0
34,1,2416,4671,5,0,0,0,1,0
62,0,4967,7944,10,0,2,0,0,0
59,0,3863,8250,14,0,1,0,1,0
64,0,1326,4800,10,0,0,0,0,0
29,0,2512,6165,6,0,1,0,1,0
36,0,3501,3889,4,0,1,0,3,0
73,0,942,7967,12,0,1,0,0,0
49,1,8930,5602,7,0,2,0,0,0
32,0,4459,3800,15,0,1,0,0,0
31,2,5342,2700,10,0,0,0,1,1
44,0,12730,2500,9,0,1,0,3,0
56,0,23750000,5400,11,0,1,0,0,0
47,2,5225,5158,6,0,1,0,2,1
42,1,6532,1542,6,1,0,0,1,0
47,1,6257,3000,4,0,1,0,0,0
53,1,49850000,0,5,0,2,0,3,0
56,0,29770000,5400,13,0,2,0,0,0
57,0,774,8500,8,0,0,0,2,0
25,0,276,1733,4,0,0,0,0,0
68,1,10457,4812,13,0,1,0,0,0
61,0,37,5833,4,0,0,0,1,0
72,0,490000,5400,6,0,0,0,0,0
76,0,1777,8140,14,0,1,0,0,0
38,0,4926,4666,2,0,1,0,0,0
69,0,2109,3881,13,0,1,0,0,0
41,0,4254,2500,5,0,1,0,0,0
39,2,14530000,5400,10,0,2,0,0,0
59,0,8665,6000,13,0,3,0,0,0
31,0,2492,3000,12,0,0,0,0,0
54,0,4368,3458,18,0,2,0,0,0
62,0,919,18856,3,0,1,0,0,0
51,1,5622,7300,20,0,1,0,1,0
71,0,270000,5400,7,0,0,0,0,0
68,1,372,4000,2,0,0,1,0,1
58,0,27570000,5400,5,0,1,0,0,0
52,0,7402,4400,3,1,1,0,0,0
68,0,3066,7500,17,0,1,0,0,0
62,0,160000,5400,4,0,0,0,0,0
45,0,1991,6895,12,0,1,0,0,0
35,0,1403,2550,4,0,0,0,0,0
60,0,20780000,5400,13,0,1,0,0,0
69,0,3310000,5400,6,0,0,0,2,0
57,0,1681,6000,15,0,0,1,1,0
54,2,4692,5763,8,0,1,0,2,0
61,0,2129,9000,13,0,2,0,0,0
53,0,3810,4350,8,0,1,0,0,0
43,0,3806,11200,8,0,2,0,2,0
47,0,734,11230,5,0,0,0,3,0
66,0,10255000,1,7,0,1,0,0,0
42,0,7959,2415,9,0,0,0,0,0
42,0,551,3750,8,0,0,0,0,0
31,0,10000,5400,3,0,0,0,0,0
50,0,2459,5833,5,0,1,0,1,0
66,1,2840,9967,5,0,1,0,0,0
45,1,4154,7353,10,0,1,0,1,0
40,0,25410000,5400,8,0,2,0,0,0
57,0,1151,3500,5,0,0,1,0,0
85,0,2415,2500,8,0,1,0,0,0
48,0,9552,1428,6,0,1,0,0,0
66,0,15250000,0,5,0,1,0,0,0
45,1,3618,7378,13,1,1,0,1,0
70,0,2632,5789,8,0,1,0,0,0
57,0,28660000,5400,4,0,2,0,0,0
55,0,4305,4509,5,0,2,0,1,0
52,0,49040000,5400,7,0,2,0,0,0
39,0,5543,9463,10,0,3,0,3,0
70,0,2567,3500,9,0,1,0,0,0
56,0,4464,8000,18,0,2,0,1,0
53,6,1107,12800,4,1,0,1,0,1
50,1,59,5000,1,0,0,0,0,0
24,0,10000,5400,0,0,0,0,0,0
41,0,1691,9680,7,0,1,0,0,0
66,0,6940,5000,12,0,2,0,0,0
63,0,69,4166,3,0,0,0,0,0
42,0,630,3709,10,0,0,0,0,0
52,0,4463,5427,16,0,1,0,0,0
56,0,1906,3734,12,0,1,0,0,0
54,0,3670,1669,8,0,0,0,0,0
70,0,2461,3801,12,0,0,0,0,0
44,0,8194,3017,8,0,2,0,4,0
54,0,4831,5250,11,0,3,0,0,0
53,3,4354,6493,16,0,1,0,2,0
66,0,7780000,5400,9,0,1,0,0,0
75,2,3163,3720,16,0,1,0,0,0
44,0,5123,1900,3,0,1,0,1,0
67,0,15510000,5400,7,0,0,0,0,0
38,0,357,7016,5,0,0,0,2,1
30,0,1903,2500,5,0,0,0,0,0
82,0,2180000,5400,2,0,0,0,0,0
30,0,1219,4000,7,0,0,0,4,0
54,1,2578,10600,19,0,1,0,1,0
29,0,7432,2433,7,0,1,0,0,0
41,2,20635,2327,11,2,1,2,0,0
79,0,2973,8333,17,0,4,0,0,0
26,0,120000,5400,3,0,0,0,0,0
73,0,404,8300,10,0,1,0,0,0
63,0,2123,24753,8,0,3,0,1,0
64,0,421,2800,2,0,0,0,0,0
54,0,4387,6917,7,0,1,0,1,0
39,0,0,2743,1,0,0,0,2,0
41,0,3834,8908,10,0,4,0,2,0
66,0,13980000,5400,10,0,0,0,0,0
66,0,3500,4507,18,0,1,0,0,0
62,0,1109,16666,12,0,1,0,2,0
69,1,2892,6589,9,0,2,0,0,0
88,0,2720000,5400,3,0,0,0,0,0
30,0,15800000,5400,6,0,1,0,0,0
42,0,2333,2275,13,0,0,0,0,0
62,0,3641,10750,23,0,3,0,0,0
50,0,5568,3400,7,0,1,0,1,0
61,0,1911,12633,8,0,3,0,1,0
34,0,4216,5843,19,0,2,0,0,0
42,0,3446,3333,10,0,1,0,2,0
57,0,4419,7186,9,0,2,0,0,0
59,0,2162,16600,9,0,3,0,4,0
37,0,4552,4350,6,0,1,0,2,0
84,0,3647,1666,20,0,1,0,0,0
36,0,1997,3158,4,0,0,0,1,0
73,0,7029,4800,11,0,1,0,0,1
60,0,41240000,5400,6,0,2,0,1,0
31,0,3240000,5400,5,0,0,0,0,0
60,0,390,57200,15,0,2,0,1,0
36,1,6904,3824,20,0,2,0,0,0
34,0,3366,2500,5,0,0,0,2,1
46,0,2648,2000,11,0,1,0,1,0
